year,PRIMARY GLD|L20|m1|k0.75|H2|A|rev,alt SPY+GLD|L60|m1|k0.5|H3|B|rev,alt SPY+GLD+TLT|L120|m1|k0.75|H5|B|rev,buy & hold GDX
2008,0.49362584948539734,0.9122867584228516,1.0211747884750366,-0.1074681475567779
2009,0.27887415885925293,0.09252694249153137,0.22151102125644684,0.4426237317319212
2010,0.2353038191795349,-0.10771197825670242,-0.23402877151966095,0.33607585850728433
2011,0.21790914237499237,0.10909038037061691,0.3142608404159546,-0.11898602257983147
2012,0.2675777077674866,0.13085629045963287,0.13640281558036804,-0.0499703676812034
2013,-0.14332056045532227,0.49062657356262207,0.3094058036804199,-0.672343263582904
2014,0.6665242910385132,0.4107002913951874,0.5861057043075562,-0.05864724837673751
2015,0.3417278528213501,-0.0657595694065094,-0.02865038625895977,-0.18770487995936105
2016,0.24168768525123596,0.41525137424468994,0.15529371798038483,0.5463239167431337
2017,-0.07174823433160782,0.16813799738883972,0.07272597402334213,0.13722848561781265
2018,0.1886589229106903,0.0058091916143894196,0.24183258414268494,-0.07570568423602911
2019,0.02291281893849373,-0.3569437265396118,-0.12375292181968689,0.350088895501795
2020,0.18550395965576172,0.14919906854629517,0.09193062782287598,0.3731928015964365
2021,0.32768815755844116,0.3240123987197876,0.10897418111562729,-0.06101334008863766
dev ann. Sharpe,0.82908593184316,0.6307493921924322,0.6469318593702476,0.0323943503483709
val ann. Sharpe,0.4586862760406655,0.17326216622387017,0.23861103827001295,0.4128354897257281
