,all years,all years,ex 2008,ex 2008,ex 2020,ex 2020,ex 2008 & 2020,ex 2008 & 2020
,Sharpe,ann. return,Sharpe,ann. return,Sharpe,ann. return,Sharpe,ann. return
PRIMARY GLD|L20|m1|k0.75|H2|A|rev,0.7088011,0.23926947,0.69520634,0.21244836,0.7492619,0.24361493,0.74543077,0.21476705
alt SPY+GLD|L60|m1|k0.5|H3|B|rev,0.48657045,0.19698676,0.3641442,0.1359549,0.5122512,0.20084415,0.37904444,0.13489477
alt SPY+GLD+TLT|L120|m1|k0.75|H5|B|rev,0.5194475,0.21133767,0.38911715,0.14259298,0.5579931,0.22088759,0.41978514,0.14686766
