config_id,nbhd_median,nbhd_min,nbhd_frac_positive,passes,n_failed,sharpe,sharpe_gross,ann_return,ann_vol,sortino,max_drawdown,calmar,nw_tstat,hit_rate,avg_win,avg_loss,profit_factor,mean_trade,n_entries,entries_per_month,pct_months_with_entry,pct_days_in_market,avg_holding_days,turnover_per_year,pct_years_positive,worst_year,rolling12m_sharpe_min,rolling12m_pct_positive,sharpe_first_half,sharpe_second_half,long_leg_pnl,short_leg_pnl,ann_return_ex_top1pct_days,top10_trades_pnl_share,corr_GDX,beta_GDX,corr_SPY,beta_SPY,corr_GLD,beta_GLD
GLD|L250|m1|k1.25|H1|A|rev,0.7256078853996031,-0.10657215251632518,0.875,False,3,0.08192516471045853,0.14989701877737283,0.0211853472907702,0.2585938931663288,0.11914195609136864,-0.4940509307451847,0.04288089743868312,0.2564739000162618,0.5225653206650831,0.024416356849951096,-0.02581901161222044,1.0350655975106946,0.0004322498169428325,421,4.087378640776699,0.9029126213592233,0.19427780341485926,1.0,87.79880018458698,0.6666666666666666,-0.3824745104012734,-1.892305530887071,0.673277661795407,0.07629783359458056,0.08992154019682243,0.06366167805469831,-0.024916570727010763,-0.19367906211186534,6.424224260548594,0.11914159025648355,0.06606754844310227,0.11884918133574152,0.14704889787535796,0.0415965184084062,0.05452224521732162
GLD|L250|m1|k1|H1|A|rev,0.7256078853996031,-0.10657215251632518,0.9166666666666666,False,4,-0.009895588648182397,0.07177379886496967,-0.002883861874640406,0.2914290374398403,-0.014208624470377814,-0.6220300634092241,-0.004636209798019292,-0.03131509601242247,0.5124378109452736,0.023620582461900064,-0.02491074457166586,0.9965865993583225,-4.1457584316156725e-05,603,5.854368932038835,0.970873786407767,0.27826488232579605,1.0,118.96446700507613,0.4444444444444444,-0.313607003331172,-1.9975029021452555,0.44467640918580376,-0.1318776633910886,0.1308160972964276,0.06786369822641342,-0.04695466670003859,-0.2312537578091809,,0.12151811217403927,0.07594170973367619,0.11893096943255554,0.16583458012760235,0.041671637747449655,0.06155621048939073
GLD|L250|m2|k1.25|H1|A|rev,0.7218070656517086,-0.10657215251632518,0.9166666666666666,False,1,1.1507225411490816,1.1982710580494342,0.29909505267660363,0.25991934804538996,2.1665083022539426,-0.3402700359489576,0.8789932144406319,3.4938404467277127,0.5572519083969466,0.02984964303213988,-0.022789033034745852,1.6485727253890738,0.006543969659014898,393,3.8155339805825244,0.8737864077669902,0.18135671435163822,1.0,62.21504383940932,0.8888888888888888,-0.07628562769250971,-1.0384622167719022,0.8637787056367432,1.0376946564120624,1.331537818847531,0.17012828756330958,0.14140977388117557,0.03225976199865394,0.5469689822183075,0.0763316537109372,0.042545126084100555,-0.019050318695790203,-0.02369126055936434,0.05124549150711782,0.0675138317297716
GLD|L250|m2|k1.5|H1|A|rev,0.6918592985405547,-0.10657215251632518,0.9444444444444444,False,2,0.9842755489800362,1.021231023102665,0.2306411811033896,0.23432582607826993,1.882213316588156,-0.25973369348425673,0.8879909957364445,3.0238789560570103,0.5494505494505495,0.03267547858553885,-0.02372512747071634,1.6795755751236705,0.00726421651623706,273,2.650485436893204,0.7669902912621359,0.12598061836640517,1.0,43.608675588371014,0.7777777777777778,-0.09954567156513297,-1.7597501358346748,0.8089770354906054,0.8384205106941297,1.2310530623933051,0.15619632939730826,0.08316658682375526,-0.019003170825271413,0.6790576166136287,0.10171237834237777,0.051109366855611564,-0.009226848534060096,-0.010344770562412554,0.05825193294005964,0.06918771418428461
GLD|L250|m2|k2|H1|A|rev,0.687560207599027,-0.04861778468790244,0.9583333333333334,False,4,0.5227545048975735,0.5442189983739258,0.09866302848459249,0.18873683069249522,0.9857882784445815,-0.25375062703933104,0.38881885588128945,1.6156865792777797,0.5630252100840336,0.037154840026099596,-0.03156058732253923,1.5168470045274498,0.0071279305964422925,119,1.1553398058252426,0.4368932038834951,0.05491462851868943,1.0,20.35071527457314,0.5555555555555556,-0.11177778594893376,,0.6080375782881002,0.6832576331242598,0.28822208660061943,0.08054249425134083,0.02219067728816606,-0.10290636118853545,1.4264259637627248,0.12866250320559333,0.05207331061381584,0.05441700632340903,0.04914039224245136,0.06088461999685049,0.05824554896568323
GLD|L250|m1|k1.5|H1|A|rev,0.687560207599027,-0.10657215251632518,0.9166666666666666,False,3,0.0960850692785136,0.14834695171193996,0.02299325311283078,0.2393009994735207,0.1415895975213722,-0.4230061042985652,0.054356787949806355,0.30318981330505934,0.5335570469798657,0.02648236347877137,-0.028871741474589104,1.0492188535550229,0.0006628313025394741,298,2.8932038834951457,0.7669902912621359,0.13751730502999537,1.0,62.4476234425473,0.6666666666666666,-0.18315357020315376,-1.435483516546408,0.558455114822547,0.0809975096231214,0.11972876626251641,0.051984626917060614,-0.016501849115720394,-0.18682097837358425,5.918591047927031,0.11802377036806437,0.06056483405128492,0.11754566436486145,0.1345855526438624,0.049223638739266815,0.059705826182366
GLD|L250|m2|k1|H1|A|rev,0.6832646410237346,-0.10657215251632518,0.9444444444444444,False,2,0.7705983411858082,0.8279959646752656,0.2273769736274703,0.2950654854480731,1.2695441849976883,-0.3949638985521786,0.5756905237693049,2.3351885363230434,0.5337954939341422,0.026731369470413168,-0.023339034504113728,1.3114047700912723,0.0033883215169508876,577,5.601941747572815,0.941747572815534,0.2662667281956622,1.0,84.54268574065527,0.7777777777777778,-0.0799880421679206,-0.9759106749587501,0.7379958246346555,0.6547146143081752,0.913402037026196,0.14633450582847982,0.09795100494712106,-0.04244907662799236,0.7196110811138164,0.04732931077583062,0.029947124409270526,-0.0038054496495003956,-0.005372441643272999,0.019916932241791488,0.029787862664946794
SPY+GLD+TLT|L250|m2|k1.25|H1|A|rev,0.6766567609123004,-0.1799601241855122,0.9722222222222222,False,2,0.9332691400916978,0.9845637174286825,0.2269658269092254,0.24319439822785208,1.5634384104884145,-0.2716759841300674,0.835428378536998,2.8019033663504316,0.5513126491646778,0.026989276644231182,-0.02278189853726982,1.4556449640242533,0.004657579904082763,419,4.067961165048544,0.9223300970873787,0.19335486848177202,1.0,62.4476234425473,0.8888888888888888,-0.00972572159327228,-0.4807008878026964,0.9050104384133612,0.8180398326040982,1.0725178217855578,0.16430937646613214,0.07514597513160243,-0.005190563428886859,0.6030074610694722,0.02931598456400351,0.015288489739507536,-0.08597237239081434,-0.10003680047317183,0.009036172161908987,0.011138752365540145
GLD|L250|m3|k1.25|H1|A|rev,0.6671898662822295,0.16574838025641678,1.0,False,2,0.3727654230021433,0.409973063490716,0.0916082442251008,0.24575306230742888,0.5727221670707286,-0.3792243029022342,0.24156744049370127,1.1617987471042313,0.5558823529411765,0.026426447555949858,-0.027861194653605266,1.1872000555896105,0.0023163476334709648,340,3.3009708737864076,0.8155339805825242,0.15689893862482696,1.0,45.701892016612824,0.7777777777777778,-0.2212645317964653,-1.531208566479798,0.6764091858037579,0.48271283937115755,0.24214145753263877,0.11005195884780056,-0.009303336219377841,-0.1265477536933558,1.5251816627092225,0.05638611831737402,0.02971513250548798,0.025691595475896518,0.030209068101691397,-0.013968938195230025,-0.017400463592401678
SPY+GLD+TLT|L250|m3|k1.25|H1|A|rev,0.6648453881956546,-0.11614258566614388,0.9722222222222222,False,1,0.9703881265104318,1.0145508730924944,0.21424749585366107,0.22078536412446295,1.600632519917131,-0.265484694329704,0.807005075733625,2.9389503972540045,0.5826330532212886,0.02536847732931183,-0.02304889166342619,1.5364605741526867,0.005160667861754507,357,3.466019417475728,0.8252427184466019,0.1647438855560683,1.0,49.19058606368251,1.0,0.0019435941622787528,-0.608064047063432,0.9368475991649269,1.1497966869272684,0.7620412855506433,0.12065537593623915,0.10343023713015798,0.006397776411282579,0.5884129252385705,0.0021215518093038073,0.0010044549357429956,-0.050767687249198695,-0.053629651481174045,-0.04705679233892624,-0.052661240533035884
