period,k,cum edge to day 1 (bps),cum edge to day 2 (bps),cum edge to day 3 (bps),cum edge to day 5 (bps),cum edge to day 10 (bps)
development,0.5,-0.390183772295121,11.771090119991493,6.8189614566633105,-12.85388510525856,-39.194037127371445
development,0.75,1.9714627587497113,26.492209952235875,19.484617807731173,4.437089017405714,-9.267938774255382
development,1.0,-2.1138811579367296,27.443401071837133,22.932682958218443,6.474118646532237,-19.921750871462123
development,1.25,-0.6953476338902524,35.17935551661709,29.821238072786585,25.986387911442165,-1.6938181459620858
development,1.5,-17.558669174547727,14.88364280063617,12.438172805713618,32.60833722567454,17.57268343621518
development,2.0,-9.550223131816225,30.28079896722751,26.1097900089713,90.77517780497467,70.48198497422027
validation,0.5,6.220391194148459,5.570531420330347,2.20563654174619,-17.891847554808837,-2.23027990705059
validation,0.75,12.346672475967246,12.541658594855287,7.630528833000343,-13.934004112561556,6.308358317356605
validation,1.0,9.281488360774713,12.862017596531874,2.1215522635725805,-13.585070765960436,2.064687892418267
validation,1.25,12.152207116616802,29.910309073058414,19.59149681944116,1.3172712396688075,28.313463361512454
validation,1.5,18.7374374812768,31.587204768178356,14.537816893562445,-15.87873264648743,-6.506195299716139
validation,2.0,19.572478482777495,62.70383618730328,46.33869856137248,13.674358111538767,71.24998592207919
